,serviced,denied,total_requests,avg_pk_delay,avg_ride_delay,time_ride_matching_ms,time_update_fleet_status_ms,time_vehicle_rebalancing_ms,distance_cruising,distance_loaded,distance_rebalancing,distance_total,V1,V2,V3,V4,seats_V1,seats_V2,seats_V3,seats_V4,total_seats,A_pk,A_dp,A_count,A_unmet_slevels,B_pk,B_dp,B_count,B_unmet_slevels,C_pk,C_dp,C_count,C_unmet_slevels
IN-S3_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-BB_RE_CT_HE,89.40%,10.60%,210269.0,120.06,192.89,0.00,0.01,0.00,9.02%,82.46%,8.52%,438443.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,4000.0,4000.0,116.54,116.54,19791.0,15240.0,151.54,281.5,135963.0,7033.0,214.73,377.4,32225.0,17.0
IN-S3_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-BB_RE_CT_MO_HE,86.22%,13.78%,210269.0,134.24,215.88,0.00,0.00,0.00,7.36%,89.40%,3.24%,380563.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,4000.0,4000.0,120.41,120.41,18107.0,16924.0,156.17,292.68,131016.0,11980.0,224.19,397.61,32181.0,61.0
IN-S3_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-BB_RE_CT_MO_OP,88.39%,11.61%,210269.0,154.48,265.06,0.00,0.00,0.00,8.29%,89.02%,2.70%,389292.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,4000.0,4000.0,123.81,123.81,18361.0,16670.0,159.19,298.93,135283.0,7713.0,223.7,399.09,32216.0,26.0
IN-S3_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-BB_RE_CT_MO_RT_HE,87.88%,12.12%,210269.0,131.14,209.23,0.00,0.01,0.00,8.22%,87.75%,4.03%,399014.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,4000.0,4000.0,120.0,120.0,18772.0,16259.0,155.05,288.74,133803.0,9193.0,220.1,388.64,32206.0,36.0
IN-S3_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-BB_RE_CT_MO_RT_OP,88.45%,11.55%,210269.0,153.53,262.60,0.01,0.01,0.00,8.33%,88.96%,2.71%,389530.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,4000.0,4000.0,124.57,124.57,18397.0,16634.0,159.39,299.36,135359.0,7637.0,224.82,400.73,32221.0,21.0
IN-S3_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-BB_RE_CT_MO_RT_UR_HE,88.28%,11.72%,210269.0,132.05,211.95,0.01,0.01,0.00,8.13%,88.03%,3.85%,399371.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,4000.0,4000.0,120.71,120.71,19090.0,15941.0,155.33,289.34,134318.0,8678.0,219.42,389.14,32209.0,33.0
IN-S3_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-BB_RE_CT_MO_RT_UR_OP,88.32%,11.68%,210269.0,154.47,265.25,0.00,0.02,0.00,8.32%,88.96%,2.72%,389275.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,4000.0,4000.0,124.62,124.62,18291.0,16740.0,159.39,299.48,135206.0,7790.0,225.79,401.46,32219.0,23.0
IN-S3_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-BB_RE_CT_MO_UR_HE,86.01%,13.99%,210269.0,134.55,216.57,0.01,0.01,0.00,7.36%,89.49%,3.15%,378964.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,4000.0,4000.0,120.25,120.25,17985.0,17046.0,156.25,293.22,130671.0,12325.0,227.15,401.56,32186.0,56.0
IN-S3_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-BB_RE_CT_MO_UR_OP,88.42%,11.58%,210269.0,153.64,263.38,0.00,0.01,0.00,8.30%,89.01%,2.68%,389154.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,4000.0,4000.0,124.09,124.09,18391.0,16640.0,158.94,297.97,135320.0,7676.0,224.21,397.66,32215.0,27.0
IN-S3_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-BB_RE_CT_OP,88.42%,11.58%,210269.0,153.78,263.59,0.00,0.01,0.00,8.29%,89.01%,2.70%,389409.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,4000.0,4000.0,123.7,123.7,18349.0,16682.0,159.3,299.59,135354.0,7642.0,225.71,401.67,32227.0,15.0
IN-S3_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-BB_RE_CT_RT_HE,89.43%,10.57%,210269.0,119.03,191.09,0.00,0.02,0.00,8.98%,82.41%,8.61%,439202.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,4000.0,4000.0,116.45,116.45,19848.0,15183.0,151.39,281.04,135965.0,7031.0,212.59,375.75,32223.0,19.0
IN-S3_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-BB_RE_CT_RT_OP,88.43%,11.57%,210269.0,153.70,262.72,0.00,0.01,0.00,8.32%,88.98%,2.69%,389550.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,4000.0,4000.0,124.71,124.71,18352.0,16679.0,158.99,298.44,135367.0,7629.0,224.49,399.24,32216.0,26.0
IN-S3_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-BB_RE_CT_RT_UR_HE,89.48%,10.52%,210269.0,118.93,190.86,0.00,0.03,0.00,8.98%,82.46%,8.56%,438859.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,4000.0,4000.0,116.42,116.42,19885.0,15146.0,151.42,281.55,136044.0,6952.0,211.48,373.94,32221.0,21.0
IN-S3_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-BB_RE_CT_RT_UR_OP,88.39%,11.61%,210269.0,155.38,267.25,0.00,0.02,0.00,8.32%,88.94%,2.73%,389055.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,4000.0,4000.0,123.94,123.94,18321.0,16710.0,159.0,298.98,135330.0,7666.0,225.52,400.78,32211.0,31.0
IN-S3_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-BB_RE_CT_UR_HE,89.40%,10.60%,210269.0,119.10,191.21,0.00,0.01,0.00,8.96%,82.47%,8.57%,438625.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,4000.0,4000.0,116.39,116.39,19796.0,15235.0,151.11,281.0,135948.0,7048.0,212.56,375.23,32227.0,15.0
IN-S3_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-BB_RE_CT_UR_OP,88.42%,11.58%,210269.0,153.90,262.63,0.00,0.01,0.00,8.35%,88.94%,2.71%,389765.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,4000.0,4000.0,124.01,124.01,18459.0,16572.0,158.95,299.03,135243.0,7753.0,225.19,399.57,32216.0,26.0
IN-S3_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-BB_RE_HE,89.46%,10.54%,210269.0,140.68,239.61,0.01,0.01,0.00,4.02%,36.59%,59.39%,988239.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,4000.0,4000.0,116.78,116.78,19828.0,15203.0,151.78,281.68,136048.0,6948.0,213.22,376.6,32223.0,19.0
IN-S3_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-BB_RE_MO_HE,86.29%,13.71%,210269.0,134.70,216.51,0.00,0.00,0.00,7.54%,89.20%,3.26%,380903.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,4000.0,4000.0,120.92,120.92,18099.0,16932.0,156.35,292.13,131156.0,11840.0,225.12,399.71,32182.0,60.0
IN-S3_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-BB_RE_MO_OP,88.48%,11.52%,210269.0,153.12,262.12,0.01,0.01,0.00,8.26%,89.06%,2.67%,389158.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,4000.0,4000.0,124.23,124.23,18500.0,16531.0,158.76,298.33,135324.0,7672.0,224.37,398.2,32214.0,28.0
IN-S3_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-BB_RE_MO_RT_HE,89.28%,10.72%,210269.0,136.12,220.34,0.01,0.01,0.00,7.88%,72.96%,19.17%,490793.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,4000.0,4000.0,121.27,121.27,19481.0,15550.0,155.18,286.99,136015.0,6981.0,216.04,382.56,32224.0,18.0
IN-S3_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-BB_RE_MO_RT_OP,88.50%,11.50%,210269.0,153.34,263.16,0.01,0.01,0.00,8.23%,89.11%,2.66%,389297.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,4000.0,4000.0,124.25,124.25,18324.0,16707.0,158.93,299.08,135538.0,7458.0,224.7,399.75,32221.0,21.0
IN-S3_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-BB_RE_MO_RT_UR_HE,89.21%,10.79%,210269.0,137.47,223.22,0.01,0.01,0.00,7.74%,72.15%,20.11%,495209.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,4000.0,4000.0,120.81,120.81,19471.0,15560.0,155.05,286.84,135897.0,7099.0,216.54,383.35,32221.0,21.0
IN-S3_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-BB_RE_MO_RT_UR_OP,88.44%,11.56%,210269.0,154.47,264.29,0.01,0.01,0.00,8.32%,88.96%,2.72%,389196.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,4000.0,4000.0,123.86,123.86,18369.0,16662.0,158.93,299.03,135377.0,7619.0,226.65,400.38,32219.0,23.0
IN-S3_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-BB_RE_MO_UR_HE,85.94%,14.06%,210269.0,134.50,217.38,0.00,0.00,0.00,7.34%,89.47%,3.20%,378443.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,4000.0,4000.0,120.5,120.5,17887.0,17144.0,156.6,293.41,130640.0,12356.0,226.82,401.25,32174.0,68.0
IN-S3_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-BB_RE_MO_UR_OP,88.41%,11.59%,210269.0,153.96,263.91,0.00,0.00,0.00,8.33%,88.96%,2.71%,389529.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,4000.0,4000.0,123.94,123.94,18355.0,16676.0,159.42,299.06,135318.0,7678.0,224.88,399.73,32219.0,23.0
IN-S3_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-BB_RE_OP,88.39%,11.61%,210269.0,153.80,262.71,0.01,0.01,0.00,8.34%,88.91%,2.75%,389844.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,4000.0,4000.0,123.99,123.99,18293.0,16738.0,159.45,298.99,135347.0,7649.0,225.11,399.35,32219.0,23.0
IN-S3_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-BB_RE_RT_HE,89.51%,10.49%,210269.0,146.28,252.20,0.00,0.01,0.00,2.62%,23.75%,73.62%,1523548.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,4000.0,4000.0,116.33,116.33,19875.0,15156.0,151.77,280.77,136108.0,6888.0,211.47,374.62,32226.0,16.0
IN-S3_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-BB_RE_RT_OP,88.40%,11.60%,210269.0,153.91,263.71,0.00,0.01,0.00,8.26%,89.06%,2.69%,389368.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,4000.0,4000.0,123.95,123.95,18305.0,16726.0,159.1,299.65,135356.0,7640.0,224.18,399.67,32224.0,18.0
IN-S3_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-BB_RE_RT_UR_HE,89.36%,10.64%,210269.0,145.69,251.50,0.00,0.02,0.00,2.75%,24.53%,72.72%,1473394.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,4000.0,4000.0,116.78,116.78,19847.0,15184.0,151.46,281.25,135825.0,7171.0,211.24,373.44,32223.0,19.0
IN-S3_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-BB_RE_RT_UR_OP,88.51%,11.49%,210269.0,154.27,262.98,0.00,0.01,0.00,8.25%,89.11%,2.64%,389362.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,4000.0,4000.0,124.06,124.06,18496.0,16535.0,158.97,298.57,135393.0,7603.0,224.95,399.72,32221.0,21.0
IN-S3_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-BB_RE_UR_HE,89.52%,10.48%,210269.0,145.41,251.40,0.01,0.02,0.00,2.77%,25.45%,71.78%,1422010.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,4000.0,4000.0,116.36,116.36,19782.0,15249.0,151.8,282.1,136233.0,6763.0,211.2,375.61,32220.0,22.0
IN-S3_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-BB_RE_UR_OP,88.52%,11.48%,210269.0,152.30,260.62,0.01,0.01,0.00,8.26%,89.10%,2.64%,389171.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,4000.0,4000.0,124.17,124.17,18470.0,16561.0,158.86,298.53,135440.0,7556.0,224.25,399.31,32211.0,31.0
